artist_name,expert_selection_system_ranking,peer_selection_system_ranking,market_selection_system_ranking,date_of_birth,date_of_death,age,active_years,gender,dominant_style,number_of_paintings,number_of_styles,career_stage,style_stage,visual_originality_max,visual_originality_mean,visual_originality_95th_percentile,visual_originality_dominant_style_max,visual_originality_dominant_style_mean,visual_originality_dominant_style_95th_percentile
john-mclaughlin,0.7028423772609821,0.3671875,0.2744860943168077,1898,1976,0.6470588235294118,0.2560975609756098,0,minimalism,0.007978723404255319,0.0,0.1,0.08586762075134168,0.007760612675893588,0.008028005331638341,0.00802489262478968,0.09463509489796966,0.09463509489796966,0.09463509489796966
judy-chicago,0.7416020671834627,0.0234375,0.4365175332527207,1939,-,0.5882352941176471,0.07317073170731707,1,minimalism,0.001595744680851064,0.0,0.6923076923076923,0.4391771019677996,0.336135353918494,0.3044640138129278,0.3472109263869969,0.3035869498711307,0.259009155062617,0.2966840487358922
park-seo-bo,0.3023255813953488,0.0234375,0.4353083434099153,1931,-,0.6823529411764706,0.475609756097561,0,minimalism,0.00425531914893617,0.0,0.2857142857142857,0.7093023255813954,0.2864216515792866,0.2962903371170255,0.2961754561567573,0.3101641783779028,0.3101641783779028,0.3101641783779028
tony-smith,0.7906976744186046,0.0859375,0.3422007255139057,1912,1980,0.5294117647058824,0.2317073170731707,0,minimalism,0.003191489361702127,0.0,0.7333333333333333,0.3282647584973166,0.3298059544190792,0.2506317327350263,0.3294674091321879,0.3864115271880662,0.272869814464722,0.3740468824597861
andre-bauchant,0.29844961240310075,0.0390625,0.252720677146312,1873,1958,0.7294117647058823,0.475609756097561,0,naive_art_primitivism,0.00851063829787234,0.0,0.76,0.3589324618736384,0.2940237908238749,0.3041544088000494,0.3040364786950965,0.3358004081124065,0.3358004081124065,0.3358004081124065
fernand-leger,0.8630490956072351,0.3515625,0.7158403869407497,1881,1955,0.6,0.6585365853658537,0,cubism,0.1319148936170213,0.1428571428571428,0.02197802197802198,0.09438202247191012,0.7378031400483273,0.5790203826067157,0.7445150510406955,0.4613710308076187,0.4613710308076187,0.4613710308076187
fernando-botero,0.6950904392764858,0.0234375,0.9673518742442564,1932,-,0.6705882352941176,0.475609756097561,0,naive_art_primitivism,0.08191489361702127,0.0,0.94,0.989106753812636,0.5098367246769913,0.4997960316293279,0.5244390612193797,0.4191271539451983,0.4191271539451983,0.4191271539451983
grandma-moses,0.6821705426356589,0.015625,0.7702539298669889,1860,1961,0.9176470588235294,0.2804878048780488,1,naive_art_primitivism,0.0148936170212766,0.0,0.78125,0.5130718954248366,0.34965750296495696,0.318176143290152,0.3572135450840843,0.2945747131980909,0.2945747131980909,0.2945747131980909
horace-pippin,0.5310077519379846,0.0234375,0.4945586457073761,1888,1946,0.4117647058823529,0.1341463414634146,0,naive_art_primitivism,0.01276595744680851,0.1428571428571428,0.0625,0.3284313725490196,0.3619309400665955,0.3187393806002363,0.3686921040962724,0.3208322670514661,0.3127769374062397,0.3200267340869434
kazimir-malevich,0.9405684754521964,0.515625,0.9322853688029019,1879,1935,0.3882352941176471,0.4146341463414634,0,cubism,0.058510638297872335,0.7142857142857143,0.28,0.1249438202247191,0.4941443700295926,0.3036653116209793,0.4888914952999346,0.4450215243788879,0.3671722517506004,0.4378184788545698
bernhard-strigel,0.30878552971576223,0.1171875,0.11970979443772667,1461,1528,0.5176470588235295,0.5243902439024389,0,northern_renaissance,0.01117021276595745,0.0,0.6666666666666666,0.6845878136200717,0.3849550753500812,0.3332739769563176,0.391572379567957,0.2696681552184839,0.2390944263492876,0.2666107823315644
dirk-bouts,0.21705426356589155,0.3359375,0.3216444981862152,1415,1475,0.4352941176470588,0.3658536585365854,0,northern_renaissance,0.01861702127659574,0.0,0.1666666666666667,0.08378136200716846,0.29883210216840805,0.3091283909741623,0.3090085323019329,0.3177835271398323,0.3177835271398323,0.3177835271398323
gerard-david,0.4444444444444444,0.2578125,0.6831922611850061,1460,1523,0.4705882352941176,0.5487804878048781,0,northern_renaissance,0.023404255319148942,0.0,0.05882352941176471,0.232078853046595,0.4053966806419202,0.3213620343710422,0.409405598625297,0.3028018984506646,0.2655365642008869,0.2990753650256868
hieronymus-bosch,0.8229974160206718,0.4765625,0.7944377267230955,1450,1516,0.5058823529411764,0.4390243902439024,0,northern_renaissance,0.09148936170212764,0.0,0.5555555555555556,0.4982078853046595,0.4308279980000065,0.4067213744622112,0.4416058430155297,0.3081756910957983,0.2946805598169613,0.3068261779679146
jan-van-hemessen,0.11757105943152454,0.1640625,0.5259975816203144,1500,1566,0.5058823529411764,0.2926829268292683,0,northern_renaissance,0.01063829787234043,0.0,0.3181818181818182,0.9153225806451613,0.3922993284321513,0.2703729300767965,0.377185069621932,0.2857772960342354,0.2213884084107421,0.2686079293855671
jean-hey,0.15245478036175708,0.109375,0.32043530834340994,1475,1500,0.023529411764705882,0.1829268292682927,0,northern_renaissance,0.0058510638297872355,0.0,1.0,0.3920250896057348,0.3547790928056365,0.2708086634379581,0.3646130286619212,0.2549728929935345,0.2096879355845168,0.2539143374827887
joachim-patinir,0.6447028423772609,0.1953125,0.5695284159613059,1480,1524,0.2470588235294118,0.1097560975609756,0,northern_renaissance,0.006382978723404255,0.0,0.3333333333333333,0.6966845878136201,0.368068850836516,0.294165081563631,0.3731358378890894,0.2489619662282295,0.2489619662282295,0.2489619662282295
konrad-witz,0.32041343669250644,0.28125,0.3941958887545345,1400,1445,0.2588235294117647,0.1219512195121951,0,northern_renaissance,0.005319148936170214,0.0,0.7368421052631579,0.05958781362007168,0.2919388747432602,0.3019976567354625,0.3018805628702286,0.24986027799698896,0.24986027799698896,0.24986027799698896
mabuse,0.3307493540051679,0.4296875,0.5126964933494559,1478,1532,0.3647058823529412,0.3048780487804878,0,northern_renaissance,0.025,0.0,0.1346153846153846,0.5752688172043011,0.5012941996889958,0.5185663395266984,0.5183652752610621,0.3486921690026614,0.3486921690026614,0.3486921690026614
petrus-christus,0.6627906976744187,0.3046875,0.5525997581620314,1410,1475,0.4941176470588236,0.4268292682926829,0,northern_renaissance,0.00904255319148936,0.0,0.3333333333333333,0.07571684587813621,0.4019667579967638,0.4158165612830086,0.4156553362956519,0.2779525958994931,0.2779525958994931,0.2779525958994931
keith-haring,0.8591731266149871,0.0234375,0.985489721886336,1958,1990,0.1058823529411765,0.0975609756097561,0,pop_art,0.005319148936170214,0.0,0.1333333333333333,0.7266375545851529,0.3646697424696689,0.3772344735007137,0.3770882079863412,0.2660486474633211,0.2660486474633211,0.2660486474633211
constantin-piliuta,0.0,0.0,0.006045949214026569,1929,2003,0.6,0.3536585365853658,0,post_impressionism,0.02287234042553191,0.2857142857142857,0.4615384615384616,0.991033065570708,0.2382290373949609,0.2464372417784144,0.2463416904106014,0.2422546848294105,0.2422546848294105,0.2422546848294105
panayiotis-tetsis,0.2183462532299741,0.0,0.3095525997581621,1925,-,0.7529411764705882,0.573170731707317,0,post_impressionism,0.02127659574468085,0.1428571428571428,0.6363636363636364,0.991033065570708,0.31896373049392,0.3299536564888033,0.3298257232147375,0.3286026593851338,0.2918620474666259,0.3249285981932831
eliseu-visconti,0.25710594315245483,0.09375,0.42805320435308347,1866,1944,0.6470588235294118,0.4024390243902439,0,impressionism,0.01914893617021277,0.2857142857142857,0.8571428571428571,0.9553494597953917,0.3572592753728986,0.2773606492835019,0.3602081571153007,0.2776053118031486,0.2776053118031486,0.2776053118031486
franklin-carmichael,0.31007751937984496,0.046875,0.5755743651753324,1890,1945,0.3764705882352941,0.2317073170731707,0,art_nouveau_modern,0.00904255319148936,0.1428571428571428,0.7,0.9829826732673268,0.3038944478906709,0.314365160304909,0.3142432711746657,0.2379830368511479,0.2379830368511479,0.2379830368511479
